Category Guess Histogram
========================

Matched
[831 953 717 881 771 902 520 922 935 941 ---]
[0.0 0.9 1.8 2.7 3.6 4.5 5.4 6.3 7.2 8.1 9.0]
['T-shirt/top', 'Trouser', 'Pullover', 'Dress', 'Coat', 'Sandal', 'Shirt', 'Sneaker', 'Bag', 'Ankle boot']

Missed
[213  22 269 196 316  61 295 106  68  81 ---]
[0.0 0.9 1.8 2.7 3.6 4.5 5.4 6.3 7.2 8.1 9. ]


Value Guess Histogram (auto)
============================

Matched
[  63  405 1203 1835 2105 1463  735  355  159   50 ----]
[ 2.6  4.4  6.2  8.0  9.8 11.6 13.4 15.3 17.1 18.9 20.7]

Missed
[  16  111  208  317  361  348  181   61   18    6 ---- ---- ---- ----]
[ 2.1  3.5  4.9  6.3  7.7  9.1 10.5 11.8 13.2 14.6 16.0 17.4 18.8 20.2]


Value Guess Histogram
=====================

Matched
[   0   30  367 1259 2045 2288 1365  629  286   97 ----]
[   0    2    4    6    8   10   12   14   16   18   20]

Missed
[   0   48  246  434  533  292   63   10    1    0  ---]
[   0    2    4    6    8   10   12   14   16   18   20]


Missed Items
============

   12 Predicted: "Sandal" 6.4, Actual: "Sneaker" 4.4
 4708 Predicted: "Shirt" 3.8, Actual: "Bag" 3.2
 4711 Predicted: "Dress" 10.4, Actual: "T-shirt/top" 8.1
 4724 Predicted: "Dress" 7.1, Actual: "Shirt" 6.8
 4727 Predicted: "T-shirt/top" 10.0, Actual: "Shirt" 6.7
 4731 Predicted: "Ankle boot" 8.5, Actual: "Sandal" 7.6
 4738 Predicted: "Coat" 10.2, Actual: "Pullover" 9.0
 4742 Predicted: "Ankle boot" 8.0, Actual: "Sandal" 7.9
 4743 Predicted: "Sandal" 6.2, Actual: "Ankle boot" 3.6
 4746 Predicted: "Sneaker" 8.7, Actual: "Ankle boot" 7.9
 4751 Predicted: "Coat" 8.1, Actual: "Dress" 7.9
 4756 Predicted: "Pullover" 6.2, Actual: "Coat" 6.1
 4775 Predicted: "Shirt" 8.4, Actual: "Coat" 7.8
 4778 Predicted: "Coat" 11.3, Actual: "Pullover" 11.3
 4803 Predicted: "T-shirt/top" 13.0, Actual: "Shirt" 9.2
 4807 Predicted: "Sneaker" 6.3, Actual: "Sandal" 3.8
 4817 Predicted: "Coat" 9.5, Actual: "Shirt" 7.7
 4823 Predicted: "Coat" 11.6, Actual: "Pullover" 9.9
 4826 Predicted: "Shirt" 8.4, Actual: "Pullover" 8.2
 4828 Predicted: "Coat" 12.4, Actual: "Pullover" 10.2
 4829 Predicted: "Sneaker" 11.7, Actual: "Bag" 2.0
 4842 Predicted: "T-shirt/top" 5.5, Actual: "Shirt" 4.1
 4845 Predicted: "T-shirt/top" 12.8, Actual: "Shirt" 12.0
 4846 Predicted: "Coat" 11.3, Actual: "Pullover" 8.5
 4847 Predicted: "Shirt" 6.3, Actual: "Pullover" 6.1
 4850 Predicted: "Sneaker" 12.4, Actual: "Ankle boot" 11.2
 4852 Predicted: "T-shirt/top" 6.6, Actual: "Dress" 6.3
 4859 Predicted: "Sandal" 7.2, Actual: "Sneaker" 5.1
 4866 Predicted: "Sneaker" 11.1, Actual: "Ankle boot" 10.9
 4874 Predicted: "Pullover" 5.6, Actual: "Shirt" 4.0
 4878 Predicted: "Coat" 6.4, Actual: "Pullover" 5.0
 4882 Predicted: "Coat" 11.3, Actual: "Pullover" 11.0
 4886 Predicted: "T-shirt/top" 6.5, Actual: "Shirt" 4.8
 4893 Predicted: "T-shirt/top" 8.0, Actual: "Shirt" 6.8
 4894 Predicted: "Ankle boot" 8.9, Actual: "Sandal" 8.1
 4896 Predicted: "T-shirt/top" 13.9, Actual: "Shirt" 13.4
 4897 Predicted: "Shirt" 12.0, Actual: "T-shirt/top" 10.9
 4907 Predicted: "Dress" 7.5, Actual: "Coat" 4.3
 4920 Predicted: "Ankle boot" 11.7, Actual: "Sneaker" 11.1
 4922 Predicted: "Dress" 6.0, Actual: "Coat" 4.0
 4924 Predicted: "Coat" 6.4, Actual: "T-shirt/top" 4.9
 4934 Predicted: "Shirt" 9.2, Actual: "Dress" 5.2
 4936 Predicted: "Ankle boot" 11.8, Actual: "Sandal" 9.8
 4947 Predicted: "Pullover" 7.5, Actual: "Bag" 7.5
 4948 Predicted: "Sneaker" 8.5, Actual: "Sandal" 7.3
 4956 Predicted: "Coat" 9.7, Actual: "Pullover" 9.6
 4965 Predicted: "Shirt" 9.0, Actual: "T-shirt/top" 8.1
 5002 Predicted: "T-shirt/top" 7.6, Actual: "Shirt" 7.5
 5004 Predicted: "Coat" 9.9, Actual: "Shirt" 9.0
 5006 Predicted: "Dress" 8.8, Actual: "Shirt" 2.1
 5009 Predicted: "Sneaker" 14.2, Actual: "Ankle boot" 11.6
 5012 Predicted: "Pullover" 6.0, Actual: "Dress" 5.4
 5015 Predicted: "Coat" 7.3, Actual: "Pullover" 4.8
 5023 Predicted: "Sandal" 2.9, Actual: "T-shirt/top" 2.4
 5026 Predicted: "Coat" 9.1, Actual: "Pullover" 8.3
 5028 Predicted: "Shirt" 9.3, Actual: "T-shirt/top" 9.2
 5030 Predicted: "Shirt" 7.6, Actual: "T-shirt/top" 4.0
 5036 Predicted: "Dress" 9.9, Actual: "Coat" 6.9
 5037 Predicted: "Pullover" 5.1, Actual: "Dress" 5.1
 5040 Predicted: "Coat" 6.4, Actual: "Shirt" 5.9
 5046 Predicted: "Pullover" 9.6, Actual: "Coat" 9.0
 5052 Predicted: "Coat" 10.7, Actual: "Shirt" 6.3
 5056 Predicted: "Sneaker" 7.9, Actual: "Sandal" 5.3
 5065 Predicted: "Bag" 8.4, Actual: "Shirt" 3.8
 5066 Predicted: "Pullover" 9.9, Actual: "Coat" 8.3
 5069 Predicted: "Sneaker" 7.0, Actual: "Ankle boot" 7.0
 5070 Predicted: "Dress" 6.7, Actual: "Coat" 5.2
 5075 Predicted: "Coat" 9.0, Actual: "Pullover" 8.2
 5077 Predicted: "Sneaker" 8.9, Actual: "Ankle boot" 4.0
 5082 Predicted: "Ankle boot" 13.4, Actual: "Sandal" 7.5
 5084 Predicted: "Sneaker" 8.6, Actual: "Sandal" 7.8
 5088 Predicted: "T-shirt/top" 6.8, Actual: "Shirt" 6.6
 5096 Predicted: "Coat" 10.3, Actual: "Shirt" 9.9
 5097 Predicted: "Coat" 6.3, Actual: "Pullover" 6.0
 5100 Predicted: "Pullover" 5.5, Actual: "Coat" 5.2
 5113 Predicted: "Dress" 8.8, Actual: "Coat" 8.7
 5114 Predicted: "Sandal" 3.2, Actual: "Bag" 3.2
 5119 Predicted: "Shirt" 11.1, Actual: "T-shirt/top" 9.9
 5123 Predicted: "Bag" 8.0, Actual: "Shirt" 5.0
 5125 Predicted: "Coat" 6.5, Actual: "Pullover" 5.8
 5144 Predicted: "Shirt" 9.4, Actual: "T-shirt/top" 8.1
 5148 Predicted: "Shirt" 10.4, Actual: "Bag" 6.6
 5155 Predicted: "Pullover" 7.3, Actual: "Shirt" 3.6
 5159 Predicted: "Coat" 6.8, Actual: "Pullover" 6.1
 5161 Predicted: "Coat" 10.2, Actual: "Shirt" 8.5
 5164 Predicted: "Sneaker" 9.9, Actual: "Ankle boot" 8.1
 5167 Predicted: "Pullover" 8.8, Actual: "Coat" 6.4
 5168 Predicted: "Coat" 9.9, Actual: "Shirt" 7.6
 5172 Predicted: "Dress" 7.9, Actual: "T-shirt/top" 7.5
 5178 Predicted: "Sandal" 6.8, Actual: "Sneaker" 5.8
 5184 Predicted: "Pullover" 8.3, Actual: "Shirt" 6.1
 5186 Predicted: "T-shirt/top" 13.4, Actual: "Shirt" 11.7
 5197 Predicted: "Coat" 7.2, Actual: "Shirt" 4.8
 5204 Predicted: "Shirt" 5.6, Actual: "Dress" 2.4
 5210 Predicted: "Sandal" 9.0, Actual: "Sneaker" 4.8
 5228 Predicted: "Pullover" 9.6, Actual: "Shirt" 8.7
 5229 Predicted: "Ankle boot" 10.4, Actual: "Sandal" 8.7
 5235 Predicted: "Bag" 6.6, Actual: "Sandal" 4.1
 5248 Predicted: "Dress" 7.2, Actual: "Shirt" 1.6
 5249 Predicted: "Dress" 5.3, Actual: "Shirt" 2.8
 5251 Predicted: "Trouser" 9.0, Actual: "Dress" 6.7
 5254 Predicted: "Coat" 6.8, Actual: "Shirt" 6.7
 5255 Predicted: "Pullover" 11.2, Actual: "Coat" 8.8
 5257 Predicted: "T-shirt/top" 4.1, Actual: "Dress" 3.5
 5266 Predicted: "T-shirt/top" 6.9, Actual: "Shirt" 6.6
 5282 Predicted: "Pullover" 5.7, Actual: "Shirt" 5.2
 5285 Predicted: "Dress" 3.4, Actual: "Sandal" 2.9
 5297 Predicted: "Shirt" 3.6, Actual: "T-shirt/top" 2.9
 5307 Predicted: "Shirt" 8.0, Actual: "T-shirt/top" 6.8
 5316 Predicted: "Ankle boot" 9.8, Actual: "Sneaker" 5.4
 5327 Predicted: "Dress" 9.7, Actual: "Trouser" 5.6
 5332 Predicted: "Sandal" 7.4, Actual: "Sneaker" 7.1
 5334 Predicted: "Dress" 10.9, Actual: "T-shirt/top" 6.0
 5336 Predicted: "Pullover" 8.3, Actual: "Coat" 8.1
 5338 Predicted: "Bag" 8.0, Actual: "T-shirt/top" -0.1
 5345 Predicted: "Bag" 6.2, Actual: "Shirt" 5.6
 5363 Predicted: "Coat" 8.6, Actual: "Pullover" 7.9
 5381 Predicted: "Pullover" 8.1, Actual: "Coat" 5.2
 5383 Predicted: "Shirt" 5.8, Actual: "Pullover" 5.6
 5395 Predicted: "Shirt" 8.8, Actual: "Bag" 7.9
 5397 Predicted: "Pullover" 10.8, Actual: "Coat" 8.7
 5424 Predicted: "Dress" 10.4, Actual: "Shirt" 6.4
 5429 Predicted: "Pullover" 8.8, Actual: "Coat" 7.8
 5435 Predicted: "Shirt" 5.7, Actual: "T-shirt/top" 5.3
 5441 Predicted: "Pullover" 10.7, Actual: "Coat" 10.3
 5442 Predicted: "Dress" 6.9, Actual: "Shirt" 5.1
 5450 Predicted: "Shirt" 7.2, Actual: "Bag" 7.0
 5452 Predicted: "Coat" 8.9, Actual: "Shirt" 7.4
 5468 Predicted: "Shirt" 9.2, Actual: "Pullover" 6.2
 5469 Predicted: "T-shirt/top" 5.3, Actual: "Shirt" 5.0
 5470 Predicted: "Coat" 9.6, Actual: "Bag" 4.1
 5471 Predicted: "Coat" 4.0, Actual: "Pullover" 2.1
 5474 Predicted: "Coat" 11.9, Actual: "Pullover" 8.7
 5476 Predicted: "Sneaker" 6.9, Actual: "Ankle boot" 6.7
 5481 Predicted: "Coat" 9.9, Actual: "Pullover" 9.6
 5482 Predicted: "Shirt" 8.6, Actual: "Coat" 8.1
 5484 Predicted: "Coat" 10.1, Actual: "Pullover" 9.3
 5488 Predicted: "T-shirt/top" 7.8, Actual: "Dress" 5.7
 5497 Predicted: "Pullover" 10.6, Actual: "Shirt" 6.7
 5504 Predicted: "T-shirt/top" 7.9, Actual: "Shirt" 7.5
 5510 Predicted: "Bag" 5.1, Actual: "Shirt" 4.0
 5511 Predicted: "Pullover" 4.2, Actual: "Coat" 0.4
 5512 Predicted: "Bag" 10.1, Actual: "Ankle boot" 2.2
 5520 Predicted: "Ankle boot" 10.3, Actual: "Sneaker" 8.4
 5521 Predicted: "Pullover" 9.4, Actual: "Shirt" 8.0
 5522 Predicted: "Dress" 7.0, Actual: "Shirt" 4.9
 5525 Predicted: "Sneaker" 8.5, Actual: "Ankle boot" 6.4
 5530 Predicted: "Pullover" 8.3, Actual: "Shirt" 7.2
 5533 Predicted: "Dress" 6.5, Actual: "Trouser" 3.1
 5546 Predicted: "Pullover" 7.1, Actual: "Coat" 6.8
 5556 Predicted: "Pullover" 8.7, Actual: "Bag" 7.2
 5561 Predicted: "Dress" 3.6, Actual: "Sandal" -0.1
 5563 Predicted: "Sneaker" 7.5, Actual: "Sandal" 6.1
 5566 Predicted: "Dress" 6.6, Actual: "Shirt" 6.5
 5568 Predicted: "Coat" 11.2, Actual: "Pullover" 10.0
 5569 Predicted: "Dress" 8.5, Actual: "Shirt" 3.6
 5575 Predicted: "Coat" 7.6, Actual: "Dress" 6.5
 5576 Predicted: "Coat" 10.0, Actual: "Dress" 8.0
 5578 Predicted: "Shirt" 9.4, Actual: "Pullover" 9.4
 5583 Predicted: "Dress" 6.3, Actual: "Coat" 6.1
 5586 Predicted: "T-shirt/top" 7.9, Actual: "Shirt" 7.9
 5587 Predicted: "Coat" 8.1, Actual: "Pullover" 7.0
 5592 Predicted: "Shirt" 10.2, Actual: "Dress" 8.5
 5594 Predicted: "Pullover" 10.7, Actual: "Shirt" 7.0
 5596 Predicted: "Coat" 9.3, Actual: "Shirt" 6.8
 5597 Predicted: "Coat" 6.7, Actual: "Trouser" 2.9
 5601 Predicted: "Shirt" 8.0, Actual: "T-shirt/top" 6.8
 5604 Predicted: "Dress" 9.3, Actual: "Coat" 9.3
 5605 Predicted: "Pullover" 5.2, Actual: "Coat" 3.7
 5623 Predicted: "Pullover" 11.0, Actual: "Shirt" 9.4
 5634 Predicted: "T-shirt/top" 7.7, Actual: "Shirt" 6.7
 5648 Predicted: "Pullover" 6.7, Actual: "Shirt" 6.1
 5654 Predicted: "T-shirt/top" 8.8, Actual: "Shirt" 7.5
 5655 Predicted: "T-shirt/top" 4.6, Actual: "Trouser" 4.2
 5657 Predicted: "Coat" 8.4, Actual: "Pullover" 8.0
 5659 Predicted: "Shirt" 7.3, Actual: "T-shirt/top" 6.5
 5667 Predicted: "Shirt" 6.5, Actual: "Bag" 6.4
 5674 Predicted: "T-shirt/top" 9.0, Actual: "Shirt" 8.6
 5679 Predicted: "Pullover" 8.6, Actual: "Shirt" 7.0
 5682 Predicted: "Coat" 10.6, Actual: "Shirt" 10.5
 5683 Predicted: "T-shirt/top" 6.4, Actual: "Shirt" 6.4
 5685 Predicted: "Ankle boot" 11.1, Actual: "Sandal" 10.9
 5689 Predicted: "Sneaker" 9.1, Actual: "Sandal" 6.9
 5691 Predicted: "Shirt" 8.2, Actual: "Bag" 6.6
 5695 Predicted: "T-shirt/top" 10.6, Actual: "Shirt" 8.6
 5701 Predicted: "T-shirt/top" 9.9, Actual: "Pullover" 8.4
 5703 Predicted: "Ankle boot" 8.7, Actual: "Sandal" 7.7
 5710 Predicted: "Shirt" 9.2, Actual: "Pullover" 5.4
 5713 Predicted: "Shirt" 8.7, Actual: "Pullover" 6.6
 5714 Predicted: "Coat" 7.4, Actual: "Pullover" 6.4
 5718 Predicted: "Shirt" 9.1, Actual: "T-shirt/top" 7.7
 5719 Predicted: "Coat" 10.4, Actual: "Pullover" 9.6
 5721 Predicted: "Shirt" 9.4, Actual: "Coat" 8.5
 5725 Predicted: "Coat" 9.6, Actual: "Pullover" 8.4
 5734 Predicted: "Shirt" 8.6, Actual: "Pullover" 7.2
 5739 Predicted: "Dress" 8.0, Actual: "T-shirt/top" 6.9
 5746 Predicted: "Dress" 6.8, Actual: "Trouser" 2.2
 5749 Predicted: "Coat" 9.2, Actual: "Shirt" 8.4
 5752 Predicted: "Coat" 14.0, Actual: "Pullover" 11.9
 5760 Predicted: "Dress" 4.8, Actual: "Trouser" 2.1
 5762 Predicted: "Pullover" 11.1, Actual: "Coat" 9.3
 5763 Predicted: "Trouser" 10.6, Actual: "Dress" 5.5
 5792 Predicted: "Shirt" 6.8, Actual: "Pullover" 6.0
 5795 Predicted: "Coat" 12.8, Actual: "Shirt" 9.9
 5804 Predicted: "Coat" 7.9, Actual: "Pullover" 7.2
 5806 Predicted: "T-shirt/top" 11.9, Actual: "Shirt" 7.8
 5808 Predicted: "Shirt" 5.6, Actual: "T-shirt/top" 5.1
 5816 Predicted: "Pullover" 9.6, Actual: "Shirt" 9.0
 5820 Predicted: "Shirt" 11.4, Actual: "Pullover" 7.7
 5826 Predicted: "Coat" 11.3, Actual: "Shirt" 8.7
 5828 Predicted: "T-shirt/top" 7.6, Actual: "Shirt" 6.5
 5840 Predicted: "T-shirt/top" 8.8, Actual: "Dress" 8.3
 5853 Predicted: "Coat" 11.7, Actual: "Pullover" 8.9
 5881 Predicted: "Shirt" 8.4, Actual: "Coat" 7.7
 5885 Predicted: "Coat" 12.2, Actual: "Shirt" 8.4
 5899 Predicted: "Ankle boot" 8.2, Actual: "Sandal" 6.5
 5917 Predicted: "Coat" 8.1, Actual: "Shirt" 7.5
 5919 Predicted: "Pullover" 11.0, Actual: "Coat" 9.4
 5934 Predicted: "Coat" 10.1, Actual: "Pullover" 10.0
 5938 Predicted: "Sneaker" 8.2, Actual: "Ankle boot" 6.3
 5943 Predicted: "Shirt" 10.8, Actual: "T-shirt/top" 10.7
 5946 Predicted: "Sandal" 10.5, Actual: "Ankle boot" 9.3
 5956 Predicted: "Coat" 9.3, Actual: "Pullover" 7.9
 5966 Predicted: "Shirt" 10.5, Actual: "T-shirt/top" 8.1
 5974 Predicted: "Coat" 6.1, Actual: "Pullover" 5.6
 5977 Predicted: "T-shirt/top" 7.5, Actual: "Shirt" 7.0
 5980 Predicted: "Coat" 7.8, Actual: "Pullover" 7.7
 5983 Predicted: "Coat" 10.7, Actual: "Shirt" 9.2
 5987 Predicted: "Dress" 8.5, Actual: "Shirt" 2.4
 6002 Predicted: "Coat" 10.9, Actual: "Shirt" 9.7
 6008 Predicted: "T-shirt/top" 7.9, Actual: "Shirt" 7.3
 6012 Predicted: "Shirt" 7.0, Actual: "Dress" 6.1
 6020 Predicted: "T-shirt/top" 8.9, Actual: "Shirt" 6.2
 6023 Predicted: "Pullover" 4.9, Actual: "Shirt" 2.3
 6024 Predicted: "T-shirt/top" 14.8, Actual: "Shirt" 9.8
 6026 Predicted: "Coat" 11.1, Actual: "Shirt" 9.9
 6032 Predicted: "Coat" 7.2, Actual: "Pullover" 5.9
 6037 Predicted: "Pullover" 8.1, Actual: "Shirt" 7.3
 6061 Predicted: "Ankle boot" 9.5, Actual: "Sandal" 8.3
 6065 Predicted: "Dress" 5.6, Actual: "T-shirt/top" 4.5
 6076 Predicted: "Dress" 3.6, Actual: "Bag" 3.4
 6083 Predicted: "Coat" 10.4, Actual: "Pullover" 9.5
 6085 Predicted: "Ankle boot" 12.2, Actual: "Sneaker" 10.7
 6094 Predicted: "Shirt" 8.6, Actual: "T-shirt/top" 7.3
 6096 Predicted: "Pullover" 10.9, Actual: "Shirt" 6.8
 6099 Predicted: "Sandal" 4.4, Actual: "Pullover" 2.2
 6103 Predicted: "Shirt" 4.4, Actual: "Coat" 2.6
 6106 Predicted: "Sneaker" 11.1, Actual: "Ankle boot" 10.4
 6117 Predicted: "Dress" 6.3, Actual: "Trouser" 2.8
 6127 Predicted: "Pullover" 6.5, Actual: "Shirt" 3.9
 6129 Predicted: "Ankle boot" 10.9, Actual: "Sneaker" 9.7
 6132 Predicted: "Pullover" 4.6, Actual: "Dress" 4.1
 6138 Predicted: "Sneaker" 7.3, Actual: "Sandal" 6.2
 6142 Predicted: "Dress" 5.6, Actual: "Bag" 4.5
 6147 Predicted: "Sneaker" 8.7, Actual: "Sandal" 6.5
 6148 Predicted: "Shirt" 8.1, Actual: "Coat" 7.9
 6156 Predicted: "Coat" 8.6, Actual: "Shirt" 7.9
 6160 Predicted: "Coat" 11.7, Actual: "Shirt" 9.6
 6168 Predicted: "Sneaker" 6.8, Actual: "Sandal" 5.9
 6169 Predicted: "T-shirt/top" 8.5, Actual: "Shirt" 7.2
 6175 Predicted: "Pullover" 9.8, Actual: "Coat" 8.4
 6186 Predicted: "Trouser" 7.9, Actual: "Dress" 7.4
 6191 Predicted: "Bag" 3.6, Actual: "T-shirt/top" 2.8
 6197 Predicted: "Sandal" 9.6, Actual: "Ankle boot" 8.8
 6207 Predicted: "Coat" 9.9, Actual: "Dress" 8.2
 6213 Predicted: "Pullover" 8.8, Actual: "Bag" 8.3
 6225 Predicted: "Shirt" 9.6, Actual: "T-shirt/top" 9.2
 6230 Predicted: "Pullover" 6.7, Actual: "Bag" 6.3
 6231 Predicted: "Dress" 8.5, Actual: "Shirt" 7.2
 6234 Predicted: "Shirt" 9.0, Actual: "Coat" 8.8
 6241 Predicted: "Pullover" 8.4, Actual: "Coat" 7.4
 6242 Predicted: "Dress" 10.0, Actual: "Coat" 7.9
 6243 Predicted: "Coat" 12.3, Actual: "Pullover" 12.1
 6248 Predicted: "Dress" 5.3, Actual: "Shirt" 4.6
 6254 Predicted: "Coat" 9.3, Actual: "Shirt" 7.5
 6258 Predicted: "T-shirt/top" 9.0, Actual: "Shirt" 8.2
 6270 Predicted: "Pullover" 8.8, Actual: "Coat" 8.3
 6273 Predicted: "Coat" 11.2, Actual: "Shirt" 11.1
 6285 Predicted: "Coat" 8.6, Actual: "Pullover" 5.2
 6293 Predicted: "Dress" 5.4, Actual: "T-shirt/top" 5.0
 6300 Predicted: "Ankle boot" 9.4, Actual: "Sneaker" 8.5
 6314 Predicted: "Dress" 5.0, Actual: "Bag" 2.1
 6323 Predicted: "Sneaker" 9.3, Actual: "Sandal" 8.5
 6329 Predicted: "Pullover" 8.5, Actual: "Shirt" 5.8
 6331 Predicted: "Bag" 3.7, Actual: "Trouser" 0.6
 6335 Predicted: "Pullover" 7.6, Actual: "Shirt" 7.4
 6344 Predicted: "T-shirt/top" 11.1, Actual: "Shirt" 9.9
 6356 Predicted: "Dress" 8.9, Actual: "Shirt" 8.7
 6360 Predicted: "Shirt" 9.2, Actual: "Coat" 8.8
 6363 Predicted: "Dress" 7.6, Actual: "Shirt" 7.0
 6365 Predicted: "Pullover" 8.0, Actual: "T-shirt/top" 4.6
 6367 Predicted: "Sneaker" 8.1, Actual: "Sandal" 6.3
 6368 Predicted: "Pullover" 5.5, Actual: "Shirt" 4.2
 6369 Predicted: "Sneaker" 6.9, Actual: "Sandal" 6.5
 6381 Predicted: "Shirt" 6.6, Actual: "Coat" 6.2
 6387 Predicted: "Shirt" 4.4, Actual: "Coat" 3.9
 6400 Predicted: "Shirt" 9.5, Actual: "Coat" 9.4
 6402 Predicted: "Pullover" 12.1, Actual: "Coat" 8.8
 6403 Predicted: "Dress" 6.8, Actual: "Bag" 5.2
 6404 Predicted: "Coat" 9.0, Actual: "Pullover" 6.9
 6407 Predicted: "Coat" 10.4, Actual: "Shirt" 10.0
 6420 Predicted: "Dress" 9.0, Actual: "Coat" 6.4
 6422 Predicted: "Pullover" 6.3, Actual: "Shirt" 5.9
 6433 Predicted: "Shirt" 8.1, Actual: "Dress" 2.0
 6437 Predicted: "Pullover" 9.3, Actual: "Shirt" 7.2
 6439 Predicted: "Dress" 6.0, Actual: "Pullover" 4.2
 6441 Predicted: "Dress" 4.7, Actual: "Bag" 2.4
 6447 Predicted: "Shirt" 3.8, Actual: "Coat" 3.5
 6452 Predicted: "T-shirt/top" 3.5, Actual: "Shirt" 2.9
 6464 Predicted: "Dress" 11.0, Actual: "Coat" 9.0
 6474 Predicted: "Dress" 10.0, Actual: "Pullover" 8.1
 6475 Predicted: "Sandal" 6.5, Actual: "Sneaker" 5.6
 6478 Predicted: "Pullover" 10.3, Actual: "Coat" 8.2
 6485 Predicted: "Shirt" 7.6, Actual: "T-shirt/top" 5.2
 6488 Predicted: "Sneaker" 10.7, Actual: "Ankle boot" 9.8
 6491 Predicted: "Shirt" 6.6, Actual: "Dress" 6.0
 6498 Predicted: "Ankle boot" 6.8, Actual: "Sandal" 6.4
 6500 Predicted: "Trouser" 9.8, Actual: "Coat" 7.3
 6503 Predicted: "Sneaker" 8.4, Actual: "Sandal" 6.7
 6504 Predicted: "Sneaker" 7.1, Actual: "Sandal" 5.0
 6511 Predicted: "Coat" 9.6, Actual: "Pullover" 9.4
 6513 Predicted: "Pullover" 9.9, Actual: "Coat" 8.8
 6517 Predicted: "Coat" 5.7, Actual: "Shirt" 5.7
 6524 Predicted: "Shirt" 9.8, Actual: "Pullover" 7.7
 6531 Predicted: "Coat" 10.1, Actual: "Shirt" 9.3
 6539 Predicted: "Coat" 12.1, Actual: "Shirt" 8.4
 6540 Predicted: "Coat" 11.3, Actual: "Shirt" 10.3
 6547 Predicted: "Shirt" 10.6, Actual: "Coat" 9.9
 6548 Predicted: "Coat" 10.9, Actual: "Shirt" 10.3
 6558 Predicted: "T-shirt/top" 4.8, Actual: "Shirt" 3.2
 6559 Predicted: "Shirt" 6.8, Actual: "Coat" 4.4
 6561 Predicted: "Dress" 9.6, Actual: "Coat" 9.3
 6565 Predicted: "Sneaker" 8.9, Actual: "Bag" 3.0
 6567 Predicted: "Coat" 6.5, Actual: "Pullover" 6.2
 6575 Predicted: "Pullover" 6.3, Actual: "Shirt" 4.5
 6578 Predicted: "Pullover" 9.7, Actual: "Shirt" 9.6
 6584 Predicted: "Coat" 9.1, Actual: "Dress" 7.8
 6591 Predicted: "T-shirt/top" 3.9, Actual: "Shirt" 3.9
 6594 Predicted: "Dress" 7.2, Actual: "Bag" 5.9
 6596 Predicted: "Bag" 6.4, Actual: "Shirt" 2.6
 6597 Predicted: "Ankle boot" 6.7, Actual: "Sandal" 6.3
 6614 Predicted: "Shirt" 11.6, Actual: "Dress" 7.0
 6626 Predicted: "Coat" 7.7, Actual: "Shirt" 5.3
 6634 Predicted: "Sneaker" 6.9, Actual: "Sandal" 5.8
 6636 Predicted: "Coat" 7.2, Actual: "Dress" 6.4
 6640 Predicted: "Coat" 11.2, Actual: "Shirt" 10.4
 6648 Predicted: "Pullover" 7.6, Actual: "Shirt" 7.5
 6649 Predicted: "Dress" 5.8, Actual: "T-shirt/top" 4.4
 6655 Predicted: "T-shirt/top" 11.8, Actual: "Shirt" 8.6
 6656 Predicted: "Dress" 9.2, Actual: "Trouser" 1.2
 6664 Predicted: "T-shirt/top" 7.9, Actual: "Shirt" 7.5
 6665 Predicted: "Shirt" 7.2, Actual: "Bag" 5.6
 6676 Predicted: "Coat" 6.6, Actual: "Dress" 4.1
 6679 Predicted: "Shirt" 4.9, Actual: "T-shirt/top" 3.6
 6680 Predicted: "Ankle boot" 10.8, Actual: "Sneaker" 10.8
 6686 Predicted: "Ankle boot" 12.3, Actual: "Sneaker" 11.1
 6688 Predicted: "Shirt" 9.6, Actual: "T-shirt/top" 3.4
 6689 Predicted: "Coat" 7.7, Actual: "Dress" 4.3
 6691 Predicted: "Bag" 4.9, Actual: "Pullover" 3.2
 6700 Predicted: "Pullover" 5.7, Actual: "Shirt" 4.9
 6701 Predicted: "Ankle boot" 11.5, Actual: "Sneaker" 8.4
 6709 Predicted: "Pullover" 5.6, Actual: "Coat" 4.8
 6710 Predicted: "Pullover" 4.2, Actual: "T-shirt/top" 4.2
 6715 Predicted: "Pullover" 9.2, Actual: "Coat" 8.1
 6718 Predicted: "Sneaker" 6.8, Actual: "Sandal" 4.9
 6720 Predicted: "Coat" 8.0, Actual: "Pullover" 6.6
 6721 Predicted: "T-shirt/top" 7.1, Actual: "Pullover" 5.7
 6727 Predicted: "Sneaker" 5.5, Actual: "Sandal" 5.0
 6758 Predicted: "Shirt" 9.6, Actual: "T-shirt/top" 8.1
 6768 Predicted: "Sneaker" 7.3, Actual: "Sandal" 7.0
 6770 Predicted: "Dress" 7.5, Actual: "Shirt" 3.4
 6797 Predicted: "Dress" 5.0, Actual: "Shirt" 2.9
 6799 Predicted: "Sneaker" 9.7, Actual: "Ankle boot" 9.6
 6801 Predicted: "Dress" 4.7, Actual: "Coat" 2.6
 6816 Predicted: "Coat" 5.3, Actual: "Pullover" 5.1
 6820 Predicted: "Coat" 6.9, Actual: "Pullover" 6.6
 6826 Predicted: "T-shirt/top" 8.6, Actual: "Pullover" 8.1
 6829 Predicted: "Shirt" 8.9, Actual: "Coat" 8.2
 6842 Predicted: "Pullover" 8.7, Actual: "Bag" 6.2
 6844 Predicted: "Pullover" 9.1, Actual: "Shirt" 7.2
